id_cliente,genero,idade,salario_anual,pontuacao_de_gastos
1,masculino,19,30000,39
2,masculino,21,30000,81
3,feminino,20,32000,6
4,feminino,23,32000,77
5,feminino,31,34000,40
6,feminino,22,34000,76
7,feminino,35,36000,6
8,feminino,23,36000,94
9,masculino,64,38000,3
10,feminino,30,38000,72
11,masculino,67,38000,14
12,feminino,35,38000,99
13,feminino,58,40000,15
14,feminino,24,40000,77
15,masculino,37,40000,13
16,masculino,22,40000,79
17,feminino,35,42000,35
18,masculino,20,42000,66
19,masculino,52,46000,29
20,feminino,35,46000,98
21,masculino,35,48000,35
22,masculino,25,48000,73
23,feminino,46,50000,5
24,masculino,31,50000,73
25,feminino,54,56000,14
26,masculino,29,56000,82
27,feminino,45,56000,32
28,masculino,35,56000,61
29,feminino,40,58000,31
30,feminino,23,58000,87
31,masculino,60,60000,4
32,feminino,21,60000,73
33,masculino,53,66000,4
34,masculino,18,66000,92
35,feminino,49,66000,14
36,feminino,21,66000,81
37,feminino,42,68000,17
38,feminino,30,68000,73
39,feminino,36,74000,26
40,feminino,20,74000,75
41,feminino,65,76000,35
42,masculino,24,76000,92
43,masculino,48,78000,36
44,feminino,31,78000,61
45,feminino,49,78000,28
46,feminino,24,78000,65
47,feminino,50,80000,55
48,feminino,27,80000,47
49,feminino,29,80000,42
50,feminino,31,80000,42
51,feminino,49,84000,52
52,masculino,33,84000,60
53,feminino,31,86000,54
54,masculino,59,86000,60
55,feminino,50,86000,45
56,masculino,47,86000,41
57,feminino,51,88000,50
58,masculino,69,88000,46
59,feminino,27,92000,51
60,masculino,53,92000,46
61,masculino,70,92000,56
62,masculino,19,92000,55
63,feminino,67,94000,52
64,feminino,54,94000,59
65,masculino,63,96000,51
66,masculino,18,96000,59
67,feminino,43,96000,50
68,feminino,68,96000,48
69,masculino,19,96000,59
70,feminino,32,96000,47
71,masculino,70,98000,55
72,feminino,47,98000,42
73,feminino,60,100000,49
74,feminino,60,100000,56
75,masculino,59,108000,47
76,masculino,26,108000,54
77,feminino,45,108000,53
78,masculino,40,108000,48
79,feminino,23,108000,52
80,feminino,49,108000,42
81,masculino,57,108000,51
82,masculino,38,108000,55
83,masculino,67,108000,41
84,feminino,46,108000,44
85,feminino,21,108000,57
86,masculino,48,108000,46
87,feminino,55,114000,58
88,feminino,22,114000,55
89,feminino,34,116000,60
90,feminino,50,116000,46
91,feminino,68,118000,55
92,masculino,18,118000,41
93,masculino,48,120000,49
94,feminino,40,120000,40
95,feminino,32,120000,42
96,masculino,24,120000,52
97,feminino,47,120000,47
98,feminino,27,120000,50
99,masculino,48,122000,42
100,masculino,20,122000,49
101,feminino,23,124000,41
102,feminino,49,124000,48
103,masculino,67,124000,59
104,masculino,26,124000,55
105,masculino,49,124000,56
106,feminino,21,124000,42
107,feminino,66,126000,50
108,masculino,54,126000,46
109,masculino,68,126000,43
110,masculino,66,126000,48
111,masculino,65,126000,52
112,feminino,19,126000,54
113,feminino,38,128000,42
114,masculino,19,128000,46
115,feminino,18,130000,48
116,feminino,19,130000,50
117,feminino,63,130000,43
118,feminino,49,130000,59
119,feminino,51,134000,43
120,feminino,50,134000,57
121,masculino,27,134000,56
122,feminino,38,134000,40
123,feminino,40,138000,58
124,masculino,39,138000,91
125,feminino,23,140000,29
126,feminino,31,140000,77
127,masculino,43,142000,35
128,masculino,40,142000,95
129,masculino,59,142000,11
130,masculino,38,142000,75
131,masculino,47,142000,9
132,masculino,39,142000,75
133,feminino,25,144000,34
134,feminino,31,144000,71
135,masculino,20,146000,5
136,feminino,29,146000,88
137,feminino,44,146000,7
138,masculino,32,146000,73
139,masculino,19,148000,10
140,feminino,35,148000,72
141,feminino,57,150000,5
142,masculino,32,150000,93
143,feminino,28,152000,40
144,feminino,32,152000,87
145,masculino,25,154000,12
146,masculino,28,154000,97
147,masculino,48,154000,36
148,feminino,32,154000,74
149,feminino,34,156000,22
150,masculino,34,156000,90
151,masculino,43,156000,17
152,masculino,39,156000,88
153,feminino,44,156000,20
154,feminino,38,156000,76
155,feminino,47,156000,16
156,feminino,27,156000,89
157,masculino,37,156000,1
158,feminino,30,156000,78
159,masculino,34,156000,1
160,feminino,30,156000,73
161,feminino,56,158000,35
162,feminino,29,158000,83
163,masculino,19,162000,5
164,feminino,31,162000,93
165,masculino,50,170000,26
166,feminino,36,170000,75
167,masculino,42,172000,20
168,feminino,33,172000,95
169,feminino,36,174000,27
170,masculino,32,174000,63
171,masculino,40,174000,13
172,masculino,28,174000,75
173,masculino,36,174000,10
174,masculino,36,174000,92
175,feminino,52,176000,13
176,feminino,30,176000,86
177,masculino,58,176000,15
178,masculino,27,176000,69
179,masculino,59,186000,14
180,masculino,35,186000,90
181,feminino,37,194000,32
182,feminino,32,194000,86
183,masculino,46,196000,15
184,feminino,29,196000,88
185,feminino,41,198000,39
186,masculino,30,198000,97
187,feminino,54,202000,24
188,masculino,28,202000,68
189,feminino,41,206000,17
190,feminino,36,206000,85
191,feminino,34,206000,23
192,feminino,32,206000,69
193,masculino,33,226000,8
194,feminino,38,226000,91
195,feminino,47,240000,16
196,feminino,35,240000,79
197,feminino,45,252000,28
198,masculino,32,252000,74
199,masculino,32,274000,18
200,masculino,30,274000,83
